Sun May 12 21:06:57, NORTH ENTRY, 31.0 °C

Sun May 12 21:06:57, EAST ENTRY, 31.0 °C

Sun May 12 21:06:57, WEST ENTRY, 31.0 °C

Sun May 12 21:06:57, SOUTH ENTRY, 31.0 °C

Sun May 12 21:06:59, NORTH ENTRY, 18.0 °C

Sun May 12 21:06:59, EAST ENTRY, 18.0 °C

Sun May 12 21:06:59, WEST ENTRY, 18.0 °C

Sun May 12 21:06:59, SOUTH ENTRY, 18.0 °C

Sun May 12 21:07:01, NORTH ENTRY, 27.0 °C

Sun May 12 21:07:01, EAST ENTRY, 27.0 °C

Sun May 12 21:07:01, WEST ENTRY, 27.0 °C

Sun May 12 21:07:01, SOUTH ENTRY, 27.0 °C

Sun May 12 21:07:03, NORTH ENTRY, 16.0 °C

Sun May 12 21:07:03, EAST ENTRY, 16.0 °C

Sun May 12 21:07:03, WEST ENTRY, 16.0 °C

Sun May 12 21:07:03, SOUTH ENTRY, 16.0 °C

Sun May 12 21:07:22, NORTH ENTRY, 17.0 °C

Sun May 12 21:07:22, EAST ENTRY, 17.0 °C

Sun May 12 21:07:22, WEST ENTRY, 17.0 °C

Sun May 12 21:07:22, SOUTH ENTRY, 17.0 °C

Sun May 12 21:07:24, NORTH ENTRY, 25.0 °C

Sun May 12 21:07:24, EAST ENTRY, 25.0 °C

Sun May 12 21:07:24, WEST ENTRY, 25.0 °C

Sun May 12 21:07:24, SOUTH ENTRY, 25.0 °C

Sun May 12 21:07:26, NORTH ENTRY, 16.0 °C

Sun May 12 21:07:26, EAST ENTRY, 16.0 °C

Sun May 12 21:07:26, WEST ENTRY, 16.0 °C

Sun May 12 21:07:26, SOUTH ENTRY, 16.0 °C

Sun May 12 21:07:28, NORTH ENTRY, 32.0 °C

Sun May 12 21:07:28, EAST ENTRY, 32.0 °C

Sun May 12 21:07:28, WEST ENTRY, 32.0 °C

Sun May 12 21:07:28, SOUTH ENTRY, 32.0 °C

Sun May 12 21:07:30, NORTH ENTRY, 25.0 °C

Sun May 12 21:07:30, EAST ENTRY, 25.0 °C

Sun May 12 21:07:30, WEST ENTRY, 25.0 °C

Sun May 12 21:07:30, SOUTH ENTRY, 25.0 °C

Sun May 12 21:07:32, NORTH ENTRY, 16.0 °C

Sun May 12 21:07:32, EAST ENTRY, 16.0 °C

Sun May 12 21:07:32, WEST ENTRY, 16.0 °C

Sun May 12 21:07:32, SOUTH ENTRY, 16.0 °C

Sun May 12 21:07:34, NORTH ENTRY, 36.0 °C

Sun May 12 21:07:34, EAST ENTRY, 36.0 °C

Sun May 12 21:07:34, WEST ENTRY, 36.0 °C

Sun May 12 21:07:34, SOUTH ENTRY, 36.0 °C

Sun May 12 21:07:36, NORTH ENTRY, 26.0 °C

Sun May 12 21:07:36, EAST ENTRY, 26.0 °C

Sun May 12 21:07:36, WEST ENTRY, 26.0 °C

Sun May 12 21:07:36, SOUTH ENTRY, 26.0 °C

Sun May 12 21:07:38, NORTH ENTRY, 33.0 °C

Sun May 12 21:07:38, EAST ENTRY, 33.0 °C

Sun May 12 21:07:38, WEST ENTRY, 33.0 °C

Sun May 12 21:07:38, SOUTH ENTRY, 33.0 °C

Sun May 12 21:07:40, NORTH ENTRY, 30.0 °C

Sun May 12 21:07:40, EAST ENTRY, 30.0 °C

Sun May 12 21:07:40, WEST ENTRY, 30.0 °C

Sun May 12 21:07:40, SOUTH ENTRY, 30.0 °C

Sun May 12 21:07:42, NORTH ENTRY, 25.0 °C

Sun May 12 21:07:42, EAST ENTRY, 25.0 °C

Sun May 12 21:07:42, WEST ENTRY, 25.0 °C

Sun May 12 21:07:42, SOUTH ENTRY, 25.0 °C

Sun May 12 21:07:44, NORTH ENTRY, 25.0 °C

Sun May 12 21:07:44, EAST ENTRY, 25.0 °C

Sun May 12 21:07:44, WEST ENTRY, 25.0 °C

Sun May 12 21:07:44, SOUTH ENTRY, 25.0 °C

Sun May 12 21:07:46, NORTH ENTRY, 18.0 °C

Sun May 12 21:07:46, EAST ENTRY, 18.0 °C

Sun May 12 21:07:46, WEST ENTRY, 18.0 °C

Sun May 12 21:07:46, SOUTH ENTRY, 18.0 °C

Sun May 12 21:07:48, NORTH ENTRY, 17.0 °C

Sun May 12 21:07:48, EAST ENTRY, 17.0 °C

Sun May 12 21:07:48, WEST ENTRY, 17.0 °C

Sun May 12 21:07:48, SOUTH ENTRY, 17.0 °C

Sun May 12 21:07:50, NORTH ENTRY, 24.0 °C

Sun May 12 21:07:50, EAST ENTRY, 24.0 °C

Sun May 12 21:07:50, WEST ENTRY, 24.0 °C

Sun May 12 21:07:50, SOUTH ENTRY, 24.0 °C

Sun May 12 21:07:52, NORTH ENTRY, 32.0 °C

Sun May 12 21:07:52, EAST ENTRY, 32.0 °C

Sun May 12 21:07:52, WEST ENTRY, 32.0 °C

Sun May 12 21:07:52, SOUTH ENTRY, 32.0 °C

Sun May 12 21:08:16, NORTH ENTRY, 16.0 °C

Sun May 12 21:08:16, EAST ENTRY, 16.0 °C

Sun May 12 21:08:16, WEST ENTRY, 16.0 °C

Sun May 12 21:08:16, SOUTH ENTRY, 16.0 °C

Sun May 12 21:08:18, NORTH ENTRY, 24.0 °C

Sun May 12 21:08:18, EAST ENTRY, 24.0 °C

Sun May 12 21:08:18, WEST ENTRY, 24.0 °C

Sun May 12 21:08:18, SOUTH ENTRY, 24.0 °C

Sun May 12 21:08:20, NORTH ENTRY, 20.0 °C

Sun May 12 21:08:20, EAST ENTRY, 20.0 °C

Sun May 12 21:08:20, WEST ENTRY, 20.0 °C

Sun May 12 21:08:20, SOUTH ENTRY, 20.0 °C

Sun May 12 21:08:22, NORTH ENTRY, 34.0 °C

Sun May 12 21:08:22, EAST ENTRY, 34.0 °C

Sun May 12 21:08:22, WEST ENTRY, 34.0 °C

Sun May 12 21:08:22, SOUTH ENTRY, 34.0 °C

Sun May 12 21:08:24, NORTH ENTRY, 26.0 °C

Sun May 12 21:08:24, EAST ENTRY, 26.0 °C

Sun May 12 21:08:24, WEST ENTRY, 26.0 °C

Sun May 12 21:08:24, SOUTH ENTRY, 26.0 °C

Sun May 12 21:08:26, NORTH ENTRY, 24.0 °C

Sun May 12 21:08:26, EAST ENTRY, 24.0 °C

Sun May 12 21:08:26, WEST ENTRY, 24.0 °C

Sun May 12 21:08:26, SOUTH ENTRY, 24.0 °C

Sun May 12 21:08:28, NORTH ENTRY, 17.0 °C

Sun May 12 21:08:28, EAST ENTRY, 17.0 °C

Sun May 12 21:08:28, WEST ENTRY, 17.0 °C

Sun May 12 21:08:28, SOUTH ENTRY, 17.0 °C

Sun May 12 21:08:50, NORTH ENTRY, 27.0 °C

Sun May 12 21:08:50, EAST ENTRY, 27.0 °C

Sun May 12 21:08:50, WEST ENTRY, 27.0 °C

Sun May 12 21:08:50, SOUTH ENTRY, 27.0 °C

Sun May 12 21:08:52, NORTH ENTRY, 32.0 °C

Sun May 12 21:08:52, EAST ENTRY, 32.0 °C

Sun May 12 21:08:52, WEST ENTRY, 32.0 °C

Sun May 12 21:08:52, SOUTH ENTRY, 32.0 °C

Sun May 12 21:08:54, NORTH ENTRY, 32.0 °C

Sun May 12 21:08:54, EAST ENTRY, 32.0 °C

Sun May 12 21:08:54, WEST ENTRY, 32.0 °C

Sun May 12 21:08:54, SOUTH ENTRY, 32.0 °C

Sun May 12 21:08:56, NORTH ENTRY, 19.0 °C

Sun May 12 21:08:56, EAST ENTRY, 19.0 °C

Sun May 12 21:08:56, WEST ENTRY, 19.0 °C

Sun May 12 21:08:56, SOUTH ENTRY, 19.0 °C

Sun May 12 21:08:58, NORTH ENTRY, 37.0 °C

Sun May 12 21:08:58, EAST ENTRY, 37.0 °C

Sun May 12 21:08:58, WEST ENTRY, 37.0 °C

Sun May 12 21:08:58, SOUTH ENTRY, 37.0 °C

Sun May 12 21:09:00, NORTH ENTRY, 36.0 °C

Sun May 12 21:09:00, EAST ENTRY, 36.0 °C

Sun May 12 21:09:00, WEST ENTRY, 36.0 °C

Sun May 12 21:09:00, SOUTH ENTRY, 36.0 °C

Sun May 12 21:09:02, NORTH ENTRY, 24.0 °C

Sun May 12 21:09:02, EAST ENTRY, 24.0 °C

Sun May 12 21:09:02, WEST ENTRY, 24.0 °C

Sun May 12 21:09:02, SOUTH ENTRY, 24.0 °C

Sun May 12 21:09:04, NORTH ENTRY, 34.0 °C

Sun May 12 21:09:04, EAST ENTRY, 34.0 °C

Sun May 12 21:09:04, WEST ENTRY, 34.0 °C

Sun May 12 21:09:04, SOUTH ENTRY, 34.0 °C

Sun May 12 21:09:06, NORTH ENTRY, 36.0 °C

Sun May 12 21:09:06, EAST ENTRY, 36.0 °C

Sun May 12 21:09:06, WEST ENTRY, 36.0 °C

Sun May 12 21:09:06, SOUTH ENTRY, 36.0 °C

Sun May 12 21:09:08, NORTH ENTRY, 20.0 °C

Sun May 12 21:09:08, EAST ENTRY, 20.0 °C

Sun May 12 21:09:08, WEST ENTRY, 20.0 °C

Sun May 12 21:09:08, SOUTH ENTRY, 20.0 °C

Sun May 12 21:09:10, NORTH ENTRY, 17.0 °C

Sun May 12 21:09:10, EAST ENTRY, 17.0 °C

Sun May 12 21:09:10, WEST ENTRY, 17.0 °C

Sun May 12 21:09:10, SOUTH ENTRY, 17.0 °C

Sun May 12 21:09:12, NORTH ENTRY, 30.0 °C

Sun May 12 21:09:12, EAST ENTRY, 30.0 °C

Sun May 12 21:09:12, WEST ENTRY, 30.0 °C

Sun May 12 21:09:12, SOUTH ENTRY, 30.0 °C

Sun May 12 21:09:14, NORTH ENTRY, 19.0 °C

Sun May 12 21:09:14, EAST ENTRY, 19.0 °C

Sun May 12 21:09:14, WEST ENTRY, 19.0 °C

Sun May 12 21:09:14, SOUTH ENTRY, 19.0 °C

Sun May 12 21:09:16, NORTH ENTRY, 26.0 °C

Sun May 12 21:09:16, EAST ENTRY, 26.0 °C

Sun May 12 21:09:16, WEST ENTRY, 26.0 °C

Sun May 12 21:09:16, SOUTH ENTRY, 26.0 °C

Sun May 12 21:09:18, NORTH ENTRY, 31.0 °C

Sun May 12 21:09:18, EAST ENTRY, 31.0 °C

Sun May 12 21:09:18, WEST ENTRY, 31.0 °C

Sun May 12 21:09:18, SOUTH ENTRY, 31.0 °C

Sun May 12 21:09:20, NORTH ENTRY, 27.0 °C

Sun May 12 21:09:20, EAST ENTRY, 27.0 °C

Sun May 12 21:09:20, WEST ENTRY, 27.0 °C

Sun May 12 21:09:20, SOUTH ENTRY, 27.0 °C

Sun May 12 21:09:22, NORTH ENTRY, 35.0 °C

Sun May 12 21:09:22, EAST ENTRY, 35.0 °C

Sun May 12 21:09:22, WEST ENTRY, 35.0 °C

Sun May 12 21:09:22, SOUTH ENTRY, 35.0 °C

Sun May 12 21:09:24, NORTH ENTRY, 18.0 °C

Sun May 12 21:09:24, EAST ENTRY, 18.0 °C

Sun May 12 21:09:24, WEST ENTRY, 18.0 °C

Sun May 12 21:09:24, SOUTH ENTRY, 18.0 °C

Sun May 12 21:09:26, NORTH ENTRY, 22.0 °C

Sun May 12 21:09:26, EAST ENTRY, 22.0 °C

Sun May 12 21:09:26, WEST ENTRY, 22.0 °C

Sun May 12 21:09:26, SOUTH ENTRY, 22.0 °C

Sun May 12 21:09:28, NORTH ENTRY, 22.0 °C

Sun May 12 21:09:28, EAST ENTRY, 22.0 °C

Sun May 12 21:09:28, WEST ENTRY, 22.0 °C

Sun May 12 21:09:28, SOUTH ENTRY, 22.0 °C

Sun May 12 21:09:30, NORTH ENTRY, 33.0 °C

Sun May 12 21:09:30, EAST ENTRY, 33.0 °C

Sun May 12 21:09:30, WEST ENTRY, 33.0 °C

Sun May 12 21:09:30, SOUTH ENTRY, 33.0 °C

Sun May 12 21:09:32, NORTH ENTRY, 33.0 °C

Sun May 12 21:09:32, EAST ENTRY, 33.0 °C

Sun May 12 21:09:32, WEST ENTRY, 33.0 °C

Sun May 12 21:09:32, SOUTH ENTRY, 33.0 °C

Sun May 12 21:09:34, NORTH ENTRY, 16.0 °C

Sun May 12 21:09:34, EAST ENTRY, 16.0 °C

Sun May 12 21:09:34, WEST ENTRY, 16.0 °C

Sun May 12 21:09:34, SOUTH ENTRY, 16.0 °C

Sun May 12 21:09:36, NORTH ENTRY, 32.0 °C

Sun May 12 21:09:36, EAST ENTRY, 32.0 °C

Sun May 12 21:09:36, WEST ENTRY, 32.0 °C

Sun May 12 21:09:36, SOUTH ENTRY, 32.0 °C

Sun May 12 21:09:38, NORTH ENTRY, 27.0 °C

Sun May 12 21:09:38, EAST ENTRY, 27.0 °C

Sun May 12 21:09:38, WEST ENTRY, 27.0 °C

Sun May 12 21:09:38, SOUTH ENTRY, 27.0 °C

Sun May 12 21:09:40, NORTH ENTRY, 34.0 °C

Sun May 12 21:09:40, EAST ENTRY, 34.0 °C

Sun May 12 21:09:40, WEST ENTRY, 34.0 °C

Sun May 12 21:09:40, SOUTH ENTRY, 34.0 °C

Sun May 12 21:09:42, NORTH ENTRY, 22.0 °C

Sun May 12 21:09:42, EAST ENTRY, 22.0 °C

Sun May 12 21:09:42, WEST ENTRY, 22.0 °C

Sun May 12 21:09:42, SOUTH ENTRY, 22.0 °C

Sun May 12 21:09:44, NORTH ENTRY, 29.0 °C

Sun May 12 21:09:44, EAST ENTRY, 29.0 °C

Sun May 12 21:09:44, WEST ENTRY, 29.0 °C

