172.19.0.1 - - [09/Apr/2024:20:59:39 -0300] "GET / HTTP/1.1" 200 - "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "-"
172.19.0.1 - - [09/Apr/2024:20:59:39 -0300] "GET /api/l10n/index?locale=es-419 HTTP/1.1" 200 - "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "-"
172.19.0.1 - - [09/Apr/2024:20:59:39 -0300] "GET /api/system/status HTTP/1.1" 200 82 "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "-"
172.19.0.1 - - [09/Apr/2024:20:59:45 -0300] "GET /api/system/status HTTP/1.1" 200 82 "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "-"
172.19.0.1 - - [09/Apr/2024:20:59:51 -0300] "GET /api/system/status HTTP/1.1" 200 76 "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAA"
172.19.0.1 - - [09/Apr/2024:20:59:54 -0300] "GET / HTTP/1.1" 200 - "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAB"
172.19.0.1 - - [09/Apr/2024:20:59:54 -0300] "GET /api/features/list HTTP/1.1" 401 - "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAD"
172.19.0.1 - - [09/Apr/2024:20:59:54 -0300] "GET /api/navigation/global HTTP/1.1" 401 - "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAE"
172.19.0.1 - - [09/Apr/2024:20:59:54 -0300] "GET /api/users/current HTTP/1.1" 401 - "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAF"
172.19.0.1 - - [09/Apr/2024:20:59:54 -0300] "GET /sessions/new?return_to=%2F HTTP/1.1" 200 - "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAG"
172.19.0.1 - - [09/Apr/2024:20:59:54 -0300] "GET /api/l10n/index?locale=es-419 HTTP/1.1" 200 - "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAC"
172.19.0.1 - - [09/Apr/2024:20:59:54 -0300] "GET /api/l10n/index?locale=es-419 HTTP/1.1" 200 - "http://localhost:9000/sessions/new?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAH"
172.19.0.1 - - [09/Apr/2024:20:59:54 -0300] "GET /api/users/identity_providers HTTP/1.1" 200 24 "http://localhost:9000/sessions/new?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAI"
172.19.0.1 - - [09/Apr/2024:20:59:57 -0300] "POST /api/authentication/login HTTP/1.1" 200 - "http://localhost:9000/sessions/new?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAJ"
172.19.0.1 - - [09/Apr/2024:20:59:57 -0300] "GET / HTTP/1.1" 302 - "http://localhost:9000/sessions/new?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAK"
172.19.0.1 - - [09/Apr/2024:20:59:57 -0300] "GET /account/reset_password HTTP/1.1" 200 - "http://localhost:9000/sessions/new?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAL"
172.19.0.1 - - [09/Apr/2024:20:59:58 -0300] "GET /api/features/list HTTP/1.1" 200 2 "http://localhost:9000/account/reset_password" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAO"
172.19.0.1 - - [09/Apr/2024:20:59:58 -0300] "GET /api/l10n/index?locale=es-419 HTTP/1.1" 200 - "http://localhost:9000/account/reset_password" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAM"
172.19.0.1 - - [09/Apr/2024:20:59:58 -0300] "GET /api/users/current HTTP/1.1" 200 414 "http://localhost:9000/account/reset_password" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAP"
172.19.0.1 - - [09/Apr/2024:20:59:58 -0300] "GET /api/navigation/global HTTP/1.1" 200 521 "http://localhost:9000/account/reset_password" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAN"
172.19.0.1 - - [09/Apr/2024:21:00:14 -0300] "POST /api/users/change_password HTTP/1.1" 204 - "http://localhost:9000/account/reset_password" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAQ"
172.19.0.1 - - [09/Apr/2024:21:00:14 -0300] "GET / HTTP/1.1" 200 - "http://localhost:9000/account/reset_password" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAR"
172.19.0.1 - - [09/Apr/2024:21:00:14 -0300] "GET /api/features/list HTTP/1.1" 200 2 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAT"
172.19.0.1 - - [09/Apr/2024:21:00:14 -0300] "GET /api/users/current HTTP/1.1" 200 414 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAS"
172.19.0.1 - - [09/Apr/2024:21:00:14 -0300] "GET /api/l10n/index?locale=es-419 HTTP/1.1" 200 - "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAV"
172.19.0.1 - - [09/Apr/2024:21:00:14 -0300] "GET /api/navigation/global HTTP/1.1" 200 522 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAU"
172.19.0.1 - - [09/Apr/2024:21:00:14 -0300] "GET /images/logo.svg?v=6.6 HTTP/1.1" 304 - "http://localhost:9000/projects" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAb"
172.19.0.1 - - [09/Apr/2024:21:00:14 -0300] "GET /images/sq-sl.svg HTTP/1.1" 304 - "http://localhost:9000/projects" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAc"
172.19.0.1 - - [09/Apr/2024:21:00:14 -0300] "GET /api/languages/list HTTP/1.1" 200 695 "http://localhost:9000/projects" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAX"
172.19.0.1 - - [09/Apr/2024:21:00:14 -0300] "GET /api/rules/app HTTP/1.1" 200 - "http://localhost:9000/projects" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAZ"
172.19.0.1 - - [09/Apr/2024:21:00:14 -0300] "GET /api/metrics/search?ps=500 HTTP/1.1" 200 - "http://localhost:9000/projects" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAY"
172.19.0.1 - - [09/Apr/2024:21:00:14 -0300] "GET /api/components/search_projects?filter=isFavorite&ps=1 HTTP/1.1" 200 77 "http://localhost:9000/projects" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAa"
172.19.0.1 - - [09/Apr/2024:21:00:14 -0300] "GET /api/components/search_projects?ps=1 HTTP/1.1" 200 77 "http://localhost:9000/projects" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAd"
172.19.0.1 - - [09/Apr/2024:21:00:14 -0300] "GET /images/alm/bitbucket.svg HTTP/1.1" 304 - "http://localhost:9000/projects/create" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAg"
172.19.0.1 - - [09/Apr/2024:21:00:14 -0300] "GET /images/alm/azure.svg HTTP/1.1" 304 - "http://localhost:9000/projects/create" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAf"
172.19.0.1 - - [09/Apr/2024:21:00:14 -0300] "GET /images/alm/github.svg HTTP/1.1" 304 - "http://localhost:9000/projects/create" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAh"
172.19.0.1 - - [09/Apr/2024:21:00:14 -0300] "GET /images/alm/gitlab.svg HTTP/1.1" 304 - "http://localhost:9000/projects/create" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAi"
172.19.0.1 - - [09/Apr/2024:21:00:14 -0300] "GET /api/alm_settings/list? HTTP/1.1" 200 18 "http://localhost:9000/projects/create" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAe"
172.19.0.1 - - [09/Apr/2024:21:00:16 -0300] "GET /api/system/upgrades HTTP/1.1" 200 - "http://localhost:9000/projects" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAW"
172.19.0.1 - - [09/Apr/2024:21:00:28 -0300] "GET /api/components/show?component=monitoringApplication HTTP/1.1" 404 80 "http://localhost:9000/projects/create?mode=manual" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAj"
172.19.0.1 - - [09/Apr/2024:21:00:29 -0300] "POST /api/projects/create HTTP/1.1" 200 114 "http://localhost:9000/projects/create?mode=manual" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAk"
172.19.0.1 - - [09/Apr/2024:21:00:29 -0300] "GET /api/components/show?component=monitoringApplication HTTP/1.1" 200 163 "http://localhost:9000/dashboard?id=monitoringApplication" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAl"
172.19.0.1 - - [09/Apr/2024:21:00:29 -0300] "GET /api/navigation/component?component=monitoringApplication HTTP/1.1" 200 659 "http://localhost:9000/dashboard?id=monitoringApplication" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAm"
172.19.0.1 - - [09/Apr/2024:21:00:29 -0300] "GET /api/project_branches/list?project=monitoringApplication HTTP/1.1" 200 99 "http://localhost:9000/dashboard?id=monitoringApplication" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAn"
172.19.0.1 - - [09/Apr/2024:21:00:29 -0300] "GET /api/alm_settings/get_binding?project=monitoringApplication HTTP/1.1" 404 88 "http://localhost:9000/dashboard?id=monitoringApplication" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAo"
172.19.0.1 - - [09/Apr/2024:21:00:29 -0300] "GET /api/ce/analysis_status?component=monitoringApplication HTTP/1.1" 200 90 "http://localhost:9000/dashboard?id=monitoringApplication" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAr"
172.19.0.1 - - [09/Apr/2024:21:00:29 -0300] "GET /api/ce/component?component=monitoringApplication HTTP/1.1" 200 12 "http://localhost:9000/dashboard?id=monitoringApplication" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAq"
172.19.0.1 - - [09/Apr/2024:21:00:29 -0300] "GET /api/settings/values?keys=sonar.core.serverBaseURL HTTP/1.1" 200 39 "http://localhost:9000/dashboard?id=monitoringApplication" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAp"
172.19.0.1 - - [09/Apr/2024:21:00:29 -0300] "GET /images/tutorials/azure-pipelines.svg HTTP/1.1" 304 - "http://localhost:9000/dashboard?id=monitoringApplication" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAs"
172.19.0.1 - - [09/Apr/2024:21:00:29 -0300] "GET /images/tutorials/manual.svg HTTP/1.1" 304 - "http://localhost:9000/dashboard?id=monitoringApplication" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAu"
172.19.0.1 - - [09/Apr/2024:21:00:29 -0300] "GET /images/tutorials/jenkins.svg HTTP/1.1" 304 - "http://localhost:9000/dashboard?id=monitoringApplication" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "AY7FTcF/qZQqBGPFAAAv"
